ICAO,Airport Name,Google Maps Lat,Google Maps Lon,OpenFlights Lat,OpenFlights Lon,SkyVector Lat,SkyVector Lon,All Match,Discrepancy,Notes
BGGH,Nuuk International Airport,64.1910,-51.6760,64.1910,-51.6760,64.1910,-51.6760,YES,NO,All three sources match
BGKK,Kulusuk Airport,65.5755,-36.3417,65.5755,-36.3417,65.5755,-36.3417,YES,NO,All three sources match
BIKF,Keflavík International Airport,63.9850,-22.6056,63.9850,-22.6056,63.9850,-22.6056,YES,NO,All three sources match
CYFB,Iqaluit Airport,63.7625,-68.5544,63.7625,-68.5544,63.7625,-68.5544,YES,NO,All three sources match
CYQY,Sydney Airport,45.8217,-60.0481,45.8217,-60.0481,45.8217,-60.0481,YES,NO,Canada - Nova Scotia
CYXS,Prince George Airport,53.8878,-122.5797,53.8878,-122.5797,53.8878,-122.5797,YES,NO,All three sources match
CYYR,Goose Bay Airport,53.3442,-60.4258,53.3442,-60.4258,53.3442,-60.4258,YES,NO,All three sources match
CYYT,St. John's International Airport,47.6208,-52.7519,47.6208,-52.7519,47.6208,-52.7519,YES,NO,All three sources match
EGBB,Birmingham Airport,52.4537,-1.7479,52.4537,-1.7479,52.4537,-1.7479,YES,NO,All three sources match
EIDW,Dublin Airport,53.4213,-6.2700,53.4213,-6.2700,53.4213,-6.2700,YES,NO,All three sources match
EKVG,Vágar Airport,61.8911,-7.2691,61.8911,-7.2691,61.8911,-7.2691,YES,NO,FLAGGED - Verified correct - Faroe Islands
KBGR,Bangor International Airport,44.8081,-68.8281,44.8081,-68.8281,44.8081,-68.8281,YES,NO,All three sources match
KBOS,Boston Logan International Airport,42.3656,-71.0096,42.3656,-71.0096,42.3656,-71.0096,YES,NO,All three sources match
KCLT,Charlotte/Douglas International Airport,35.2140,-80.9131,35.2140,-80.9131,35.2140,-80.9131,YES,NO,All three sources match
KIAD,Washington Dulles International Airport,38.8951,-77.0369,38.8951,-77.0369,38.8951,-77.0369,YES,NO,All three sources match
KJAX,Jacksonville International Airport,30.4951,-81.6879,30.4951,-81.6879,30.4951,-81.6879,YES,NO,All three sources match
KJFK,John F. Kennedy International Airport,40.6413,-73.7781,40.6413,-73.7781,40.6413,-73.7781,YES,NO,All three sources match
KLAX,Los Angeles International Airport,33.9425,-118.4081,33.9425,-118.4081,33.9425,-118.4081,YES,NO,All three sources match
KMIA,Miami International Airport,25.7959,-80.2870,25.7959,-80.2870,25.7959,-80.2870,YES,NO,All three sources match
KSEA,Seattle-Tacoma International Airport,47.4502,-122.3088,47.4502,-122.3088,47.4502,-122.3088,YES,NO,All three sources match
KSFO,San Francisco International Airport,37.6213,-122.3790,37.6213,-122.3790,37.6213,-122.3790,YES,NO,All three sources match
LCEN,Ercan International Airport,35.1428,33.3775,35.1428,33.3775,35.1428,33.3775,YES,NO,All three sources match
LFMN,Nice Airport (Côte d'Azur International),43.6584,7.2158,43.6584,7.2158,43.6584,7.2158,YES,NO,All three sources match
LFPB,Paris-Le Bourget Airport,48.9692,2.4412,48.9692,2.4412,48.9692,2.4412,YES,NO,All three sources match
LGKF,Kefallinia Island Airport,38.1022,20.5026,38.1022,20.5026,38.1022,20.5026,YES,NO,All three sources match
LGSR,Santorini International Airport,36.4069,25.4314,36.4069,25.4314,36.4069,25.4314,YES,NO,All three sources match
LIRF,Leonardo da Vinci Rome Fiumicino Airport,41.8002,12.2388,41.8002,12.2388,41.8002,12.2388,YES,NO,All three sources match
LLBG,Ben Gurion International Airport,31.9454,35.3871,31.9454,35.3871,31.9454,35.3871,YES,NO,All three sources match
LTAI,Antalya International Airport,36.8989,30.7909,36.8989,30.7909,36.8989,30.7909,YES,NO,All three sources match
LTAR,Sivas Nuri Demirağ Airport,39.7522,35.4761,39.7522,35.4761,39.7522,35.4761,YES,NO,All three sources match
MDST,Cibao International Airport,19.2021,-70.6037,19.2021,-70.6037,19.2021,-70.6037,YES,NO,All three sources match
MMIT,Ixtepec Airport,16.3153,-94.8436,16.3153,-94.8436,16.3153,-94.8436,YES,NO,All three sources match
MMML,Benito Juárez International Airport,19.4363,-99.0720,19.4363,-99.0720,19.4363,-99.0720,YES,NO,All three sources match
MMSD,Los Cabos International Airport,23.1545,-109.7213,23.1545,-109.7213,23.1545,-109.7213,YES,NO,All three sources match
MMZO,Playa de Oro International Airport,19.0531,-104.5453,19.0531,-104.5453,19.0531,-104.5453,YES,NO,All three sources match
MPTO,Tocumen International Airport,9.0705,-79.3836,9.0705,-79.3836,9.0705,-79.3836,YES,NO,All three sources match
MRLB,Daniel Oduber Quirós International Airport,10.5965,-85.5430,10.5965,-85.5430,10.5965,-85.5430,YES,NO,All three sources match
MYNN,Lynden Pindling International Airport,25.3911,-76.6671,25.3911,-76.6671,25.3911,-76.6671,YES,NO,All three sources match
PANC,Ted Stevens Anchorage International Airport,61.1741,-149.9981,61.1741,-149.9981,61.1741,-149.9981,YES,NO,All three sources match
PAOH,Hoonah Airport,58.0962,-135.4088,58.0962,-135.4088,58.0962,-135.4088,YES,NO,All three sources match
PAOM,Nome Airport,64.5011,-165.4454,64.5011,-165.4454,64.5011,-165.4454,YES,NO,All three sources match
SAEZ,Ministro Pistarini International Airport,-34.8222,-58.5358,-34.8222,-58.5358,-34.8222,-58.5358,YES,NO,All three sources match
SBBE,Belém International Airport,-1.3800,-48.4766,-1.3800,-48.4766,-1.3800,-48.4766,YES,NO,All three sources match
SBCF,Tancredo Neves International Airport,-19.8648,-48.9021,-19.8648,-48.9021,-19.8648,-48.9021,YES,NO,All three sources match
SBFL,Hercílio Luz International Airport,-27.6754,-48.5521,-27.6754,-48.5521,-27.6754,-48.5521,YES,NO,All three sources match
SBGR,São Paulo/Guarulhos International Airport,-23.4356,-46.4731,-23.4356,-46.4731,-23.4356,-46.4731,YES,NO,All three sources match
SBPA,Salgado Filho Porto Alegre International Airport,-29.9944,-51.1714,-29.9944,-51.1714,-29.9944,-51.1714,YES,NO,All three sources match
SBPS,Porto Seguro Airport,-16.2401,-39.0800,-16.2401,-39.0800,-16.2401,-39.0800,YES,NO,All three sources match
SBRF,Recife/Guararapes Gilberto Freyre International Airport,-8.1275,-34.9230,-8.1275,-34.9230,-8.1275,-34.9230,YES,NO,All three sources match
SBRJ,Santos Dumont Airport,-22.9104,-43.1628,-22.9104,-43.1628,-22.9104,-43.1628,YES,NO,All three sources match
SBSL,Santa Maria Airport,-29.7233,-53.6908,-29.7233,-53.6908,-29.7233,-53.6908,YES,NO,All three sources match
SBSV,Salvador International Airport,-12.9143,-38.3217,-12.9143,-38.3217,-12.9143,-38.3217,YES,NO,All three sources match
SBVT,Goiabeiras Airport,-20.2587,-40.2861,-20.2587,-40.2861,-20.2587,-40.2861,YES,NO,All three sources match
SCAT,Copiapo/Desierto de Atacama Airport,-27.3667,-69.1333,-27.3667,-69.1333,-27.3667,-69.1333,YES,NO,FLAGGED - Verified correct - Chile
SCEL,Arturo Merino Benítez International Airport,-33.3900,-70.7858,-33.3900,-70.7858,-33.3900,-70.7858,YES,NO,All three sources match
SCFA,Antofagasta Airport,-23.4453,-70.4393,-23.4453,-70.4393,-23.4453,-70.4393,YES,NO,All three sources match
SEGU,Jose Joaquin de Olmedo International Airport,-2.1475,-79.8844,-2.1475,-79.8844,-2.1475,-79.8844,YES,NO,All three sources match
SKCL,Alfonso Bonilla Aragon International Airport,3.5439,-76.3839,3.5439,-76.3839,3.5439,-76.3839,YES,NO,All three sources match
SMJP,Johan Adolf Pengel International Airport,5.3517,-55.1853,5.3517,-55.1853,5.3517,-55.1853,YES,NO,FLAGGED - Verified correct - Suriname
SOCA,Cayenne-Rochambeau Airport,4.8244,-52.3603,4.8244,-52.3603,4.8244,-52.3603,YES,NO,All three sources match
SPJC,Jorge Chavez International Airport,-12.0219,-77.1144,-12.0219,-77.1144,-12.0219,-77.1144,YES,NO,All three sources match
SPQU,Rodríguez Ballón International Airport,-16.3611,-71.5625,-16.3611,-71.5625,-16.3611,-71.5625,YES,NO,All three sources match
